"Submitted At","Unique Voting Code","Please rank your choices for Builder Co-Steward.","Please rank your choices for Champion Co-Steward.","Gatherings Working Group","Assign Aditya Dahiya as the new Governance WG Lead for Season 3","Assign Amanda Maritan as the new Grants WG Lead for Season 3",PDFs,"Total Amount","Customer ID","IP Address",ID,"UTM Source","UTM Medium","UTM Campaign","UTM Term","UTM Content","Device Type"
"12-24-2022 06:46:42",test,"Amanda, Joshua, Tim","Harry, Shaan","Fernando, Rebeca, Ibtehaj",Yes,Yes,,0," -",14.139.123.36,63a6e6a20781c805a60ea6a7,,,,,,desktop
"12-24-2022 14:27:54",D31942,"Joshua, Amanda, Tim","Shaan, Harry","Ibtehaj, Fernando, Rebeca",Yes,No,,0," -",23.120.122.53,63a752ba15377e3d2b011f0b,,,,,,mobile
"12-24-2022 14:28:34",D81807,"Tim, Joshua, Amanda","Harry, Shaan","Fernando, Ibtehaj, Rebeca",Yes,Yes,,0," -",174.202.160.87,63a752e2d169028ad400b04f,,,,,,mobile
"12-24-2022 14:31:07",D55588,"Joshua, Tim, Amanda","Harry, Shaan","Fernando, Rebeca, Ibtehaj",Yes,Yes,,0," -",68.42.74.69,63a7537b71077f152902ea10,,,,,,desktop
"12-24-2022 15:06:24",D27926,"Tim, Joshua, Amanda","Shaan, Harry","Ibtehaj, Fernando, Rebeca",Yes,Yes,,0," -",49.33.231.214,63a75bc0875f395bcb02b544,,,,,,mobile
"12-24-2022 15:06:31",D05806,"Tim, Joshua, Amanda","Shaan, Harry","Ibtehaj, Rebeca, Fernando",No,Yes,,0," -",114.134.25.7,63a75bc771694845ed0fa616,,,,,,desktop
"12-24-2022 15:33:47",VAL468,"Tim, Joshua, Amanda","Harry, Shaan","Fernando, Rebeca, Ibtehaj",Yes,No,,0," -",45.195.93.21,63a7622be117a240a801605b,,,,,,desktop
"12-24-2022 15:37:50",D09273,"Joshua, Amanda, Tim","Harry, Shaan","Fernando, Ibtehaj, Rebeca",Yes,Yes,,0," -",189.199.105.156,63a7631ea36d1cbb6f02a224,,,,,,mobile
"12-24-2022 16:20:07",D65344,"Joshua, Amanda, Tim","Harry, Shaan","Rebeca, Fernando, Ibtehaj",Yes,Yes,,0," -",89.16.144.55,63a76d0725744782d601da4e,,,,,,mobile
"12-24-2022 16:49:50",D13800,"Amanda, Joshua, Tim","Harry, Shaan","Fernando, Rebeca, Ibtehaj",Yes,Yes,,0," -",179.241.17.4,63a773feffd36107ac02d5e2,,,,,,mobile
